value	label	color	radlex_id	radlex_structure_id	cca_atlas_id	notes
1014	left straight gyrus	"rgb(200,35,75)"	RID20278	RID13906		
1015	left middle temporal gyrus	"rgb(160,100,50)"	RID20312	RID13891		
1016	left parahippocampal gyrus	"rgb(250,250,250)"	RID20306	RID13956		
1017	left paracentral lobule	"rgb(60,175,80)"	RID27593	RID14112		
1018	opercular part of left inferior frontal gyrus	"rgb(70,180,30)"	RID22705	RID13978		
1019	orbital part of left inferior frontal gyrus	"rgb(220,180,140)"	RID22708	RID13981		
1020	triangular part of left inferior frontal gyrus	"rgb(220,60,20)"	RID22702	RID13975		
1021	left visual cortex	"rgb(120,100,60)"	RID25841	RID25841		
1022	left postcentral gyrus	"rgb(195,40,40)"	RID20334	RID13928		
1023	left posterior cingulate gyrus	"rgb(220,180,220)"	RID20378	RID14049		
1024	left precentral gyrus	"rgb(95,75,175)"	RID20275	RID13912		
1025	left precuneus	"rgb(160,140,180)"	RID20346	RID13963		
1026	rostral part of left anterior cingulate gyrus	"rgb(80,20,140)"	RID26838	RID26838	CCAX-RID26838-S	look at structure id
1027	anterior part of left middle frontal gyrus	"rgb(75,50,125)"	RID26832	RID14069		
1028	left superior frontal gyrus	"rgb(50,160,150)"	RID20269	RID13903		
1029	left superior parietal lobule	"rgb(20,180,140)"	RID20343	RID14110		may include precuneus in labeling
1030	left superior temporal gyrus	"rgb(140,220,220)"	RID20309	RID13889		
1031	left supramarginal gyrus	"rgb(80,160,20)"	RID20337	RID13930		May include angular gyrus
1032	left frontal pole	"rgb(100,0,100)"	RID26767	RID20409		
1033	left temporal pole	"rgb(70,70,70)"	RID26770	RID20416		
1034	left transverse temporal gyrus	"rgb(150,150,200)"	RID20330	RID26543		
1035	limen of left insula	"rgb(145,50,65)"	RID26595			
2000	unsegmented region of right insula	"rgb(80,196,98)"	RID13870	RID13870	CCAX-RID13870-U	
2001	right superior temporal gyrus (banks of right superior temporal sulcus)	"rgb(25,100,40)"	RID20308	RID13888		
2002	caudal part of right anterior cingulate gyrus	"rgb(125,100,160)"	RID26840	RID26840	CCAX-RID26840-S	
2003	posterior part of right middle frontal gyrus	"rgb(100,25,0)"	RID26834	RID14074		
2005	right cuneus	"rgb(220,20,100)"	RID20355	RID26551		
2006	right ambiens gyrus	"rgb(220,20,100)"	RID26594	RID26594		
2007	right fusiform gyrus	"rgb(180,220,140)"	RID20317	RID26540		
2008	unsegmented region of right inferior parietal lobule	"rgb(185,90,185)"	RID15673	RID14107	CCAX-RID14107-U	
2009	right inferior temporal gyrus	"rgb(180,40,120)"	RID20314	RID13892		
2010	isthmus of right cingulate gyrus	"rgb(140,20,140)"	RID20383	RID14042		
2011	right lateral occipital gyrus	"rgb(20,30,140)"	RID20352	RID13937		
2012	right lateral orbital gyrus	"rgb(35,75,50)"	RID20292	RID13923		
2013	right lingual gyrus	"rgb(225,140,140)"	RID20358	RID26553		
2014	right straight gyrus	"rgb(200,35,75)"	RID20277	RID13905		
2015	right middle temporal gyrus	"rgb(160,100,50)"	RID20311	RID13890		
2016	right parahippocampal gyrus	"rgb(45,165,45)"	RID20305	RID13955		
2017	right paracentral lobule	"rgb(105,205,105)"	RID27592	RID14111		
2018	opercular part of right inferior frontal gyrus	"rgb(220,180,140)"	RID22704	RID13977		
2019	orbital part of right inferior frontal gyrus	"rgb(20,100,50)"	RID22707	RID13980		
2020	triangular part of right inferior frontal gyrus	"rgb(220,60,20)"	RID22701	RID13974		
2021	right visual cortex	"rgb(120,100,60)"	RID25840	RID25840		
2022	right postcentral gyrus	"rgb(195,40,40)"	RID20333	RID13927		
2023	right posterior cingulate gyrus	"rgb(220,180,220)"	RID20377	RID14048		
2024	right precentral gyrus	"rgb(95,75,175)"	RID20274	RID13911		
2025	right precuneus	"rgb(160,140,180)"	RID20345	RID13962		
2026	rostral part of right anterior cingulate gyrus	"rgb(80,20,140)"	RID26837	RID26837	CCAX-RID26837-S	look at structure id
2027	anterior part of right middle frontal gyrus	"rgb(75,50,125)"	RID26831	RID14068		
2028	right superior frontal gyrus	"rgb(50,160,150)"	RID20268	RID13902		
2029	right superior parietal lobule	"rgb(20,180,140)"	RID20342	RID14109		may include precuneus
2030	right superior temporal gyrus	"rgb(140,220,220)"	RID20308	RID13888		
2031	right supramarginal gyrus	"rgb(80,160,20)"	RID20336	RID13929		may include angular  gyrus
2032	right frontal pole	"rgb(100,0,100)"	RID26766	RID20408		
2033	right temporal pole	"rgb(70,70,70)"	RID26769	RID20415		
2034	right transverse temporal gyrus	"rgb(150,150,200)"	RID20329	RID26542		
2035	limen of right insula	"rgb(110, 150, 120)"	RID26594			
2108	right angular and supramarginal gyri (obsolete label)	"rgb(230,250,230)"	RID22701	RID13974		
3000	right claustrum	"rgb(230,250,230)"	RID15701	RID15701		
3001	left claustrum	"rgb(230,155,215)"	RID15700	RID15700		
3002	right mammillary body	"rgb(130,155,95)"	RID26776	RID26776		
3003	left mammillary body	"rgb(155,230,255)"	RID26777	RID26777		
3004	corpus callosum	"rgb(250,240,20)"	RID6915	RID6915		
3005	right fornix of forebrain	"rgb(35,235,155)"	RID18106	RID18106		
3007	left fornix of forebrain	"rgb(75,35,115)"	RID18107	RID18107		
3008	infundibulum of neurohypophysis	"rgb(35,195,35)"	RID15529	RID15529		
3011	adenohypophysis	"rgb(235,225,115)"	RID15522	RID15522		
3012	unsegmented region of neurohypophysis	"rgb(220,180,205)"	RID6645	RID6645	CCAX-RID6645-U	
4001	left temporalis	"rgb(153,0,51)"				
4002	right temporalis	"rgb(153,0,51)"				
4003	left masseter	"rgb(133,0,51)"				
4004	right masseter	"rgb(133,0,51)"				
4005	left lateral pterygoid	"rgb(110,0,51)"				
4006	right lateral pterygoid	"rgb(110,0,51)"				
4007	left medial pterygoid	"rgb(90,0,51)"				
4008	right medial pterygoid	"rgb(90,0,51)"				
4011	left medial rectus	"rgb(90,79,130)"				
4012	right medial rectus	"rgb(90,79,130)"				
4013	left superior rectus	"rgba(111,88,147,0.098)"				
4014	right superior rectus	"rgb(111,88,147)"				
4015	left superior oblique	"rgb(123,98,130)"				
4016	right superior oblique	"rgb(123,98,130)"				
4017	left inferior rectus	"rgb(135,108,144)"				
4018	right inferior rectus	"rgb(135,108,144)"				
4019	left lateral rectus	"rgb(150,120,160)"				
4020	right lateral rectus	"rgb(150,120,160)"				
4021	left levator palpebrae superioris	"rgb(170,120,160)"				
4022	right levator palpebrae superioris	"rgb(170,120,160)"				
4027	left eyeball	"rgb(163,191,218)"				
4028	right eyeball	"rgb(163,191,218)"				
4030	uvula	"rgb(180,75,20)"				
4031	left tensor veli palatini	"rgb(165,85,25)"				
4032	right tensor veli palatini	"rgb(165,85,25)"				
4033	left palatoglossus	"rgb(210,85,25)"				
4034	right palatoglossus	"rgb(210,85,25)"				
4035	left levator veli palatini	"rgb(235,85,25)"				
4036	right levator veli palatini	"rgb(235,85,25)"				
4037	left palatopharyngeus	"rgb(198,85,25)"				
4038	right palatopharyngeus	"rgb(198,85,25)"				
4041	left zygomaticus major	"rgb(200,125,125)"				
4042	right zygomaticus major	"rgb(200,125,125)"				
4043	left nasalis	"rgb(220,125,125)"				
4044	right nasalis	"rgb(220,125,125)"				
4045	left levator labii superioris	"rgb(210,125,125)"				
4046	right levator labii superioris	"rgb(210,125,125)"				
4047	left buccinator	"rgb(190,125,125)"				
4048	right buccinator	"rgb(190,125,125)"				
4050	tongue	"rgb(166,84,94)"				
4051	left hyoglossus	"rgb(180,115,115)"				
4052	right hyoglossus	"rgb(180,115,115)"				
4060	middle constrictor	"rgb(150,70,70)"				
4061	left stylopharyngeus	"rgb(180,70,70)"				
4062	right stylopharyngeus	"rgb(180,70,70)"				
4071	left rectus capitis posterior minor	"rgb(145,80,100)"				
4072	right rectus capitis posterior minor	"rgb(145,80,100)"				
4073	left longissimus capitis	"rgb(200,100,80)"				
4074	right longissimus capitis	"rgb(200,100,80)"				
4075	left semispinalis capitis	"rgb(255,100,80)"				
4076	right semispinalis capitis	"rgb(255,100,80)"				
4077	left longus colli	"rgb(215,100,80)"				
4078	right longus colli	"rgb(215,100,80)"				
4079	left superior oblique capitis	"rgb(200,80,100)"				
4080	right superior oblique capitis	"rgb(200,80,100)"				
4081	left stylohyoid	"rgb(175,80,100)"				
4082	right stylohyoid	"rgb(175,80,100)"				
4083	left anterior rectus capitis	"rgb(215,100,80)"				
4084	right anterior rectus capitis	"rgb(215,100,80)"				
4085	left trapezius	"rgb(155,80,100)"				
4086	right trapezius	"rgb(155,80,100)"				
4087	left longus capitis	"rgb(210,80,100)"				
4088	right longus capitis	"rgb(210,80,100)"				
4089	left sternocleidomastoid	"rgb(160,80,100)"				
4090	right sternocleidomastoid	"rgb(160,80,100)"				
4091	left middle scalenus	"rgb(165,80,100)"				
4092	right middle scalenus	"rgb(165,80,100)"				
4093	left digastric	"rgb(170,80,100)"				
4094	right digastric	"rgb(170,80,100)"				
4095	left splenius capitis	"rgb(180,80,100)"				
4096	right splenius capitis	"rgb(180,80,100)"				
4097	left inferior oblique capitis	"rgb(185,80,100)"				
4098	right inferior oblique capitis	"rgb(185,80,100)"				
4099	left rectus capitis posterior major	"rgb(215,80,100)"				
4100	right rectus capitis posterior major	"rgb(215,80,100)"				
5001	left calcarine sulcus	"rgb(126,128,9)"				
5002	right calcarine sulcus	"rgb(126,128,9)"				
5003	left central sulcus	"rgb(233,227,27)"				
5004	right central sulcus	"rgb(233,227,27)"				
5005	left cingulate sulcus	"rgb(38,210,26)"				
5006	right cingulate sulcus	"rgb(38,210,26)"				
5007	left collateral sulcus	"rgb(50,227,221)"				
5008	right collateral sulcus	"rgb(50,227,221)"				
5009	left inferior frontal sulcus	"rgb(241,88,66)"				
5010	right inferior frontal sulcus	"rgb(241,88,66)"				
5011	left intraparietal sulcus	"rgb(149,124,161)"				
5012	right intraparietal sulcus	"rgb(149,124,161)"				
5013	left parieto-occipital sulcus	"rgb(37,123,227)"				
5014	right parieto-occipital sulcus	"rgb(37,123,227)"				
5015	left postcentral sulcus	"rgb(204,84,204)"				
5016	right postcentral sulcus	"rgb(204,84,204)"				
5017	left precentral sulcus	"rgb(228,152,129)"				
5018	right precentral sulcus	"rgb(228,152,129)"				
5019	left superior frontal sulcus	"rgb(250,240,220)"				
5020	right superior frontal sulcus	"rgb(250,240,220)"				
5021	left superior temporal sulcus	"rgb(113,128,150)"				
5022	right superior temporal sulcus	"rgb(113,128,150)"				
